probe	M1_melanoma_KB_1stBUSAM_28_U95Av2_Signal	M2_melanoma_KB_1stBUSAM_31_U95Av2_Signal	M3_melanoma_KB_1stBUSAM_32B_U95Av2_Signal	M4_melanoma_KB_1stBUSAM_42_U95Av2_Signal	M5_melanoma_KB_1stBUSAM_44_U95Av2_Signal	M6_melanoma_KB_1stBUSAM_45_U95Av2_Signal	M7_melanoma_KB_1stBUSAM_46_U95Av2_Signal	M8_melanoma_KB_1stBUSAM_48_U95Av2_Signal	M9_melanoma_KB_1stBUSAM_22_U95Av2_Signal	M10_melanoma_cell_line_UW_1stG_MEL_S2_U95Av2_Signal	M11_melanoma_cell_line_UW_1stMeL-22a_Signal	M12_melanoma_cell_line_UW_1stSK-MEL_28_S2_U95Av2_Signal	M13_melanoma_cell_line_UW_1stSK-MEL_37_S2_U95Av2_Signal	M14_melanoma_cell_line_UW_1stSK-MEL-118_U95Av2_Signal	M15_melanoma_cell_line_UW_1stSK-MEL-127_U95Av2_Signal	M16_melanoma_cell_line_UW_1stSK-MEL-130_U95Av2_Signal	M17_melanoma_cell_line_UW_1stSK-MEL-19_U95Av2_Signal	M18_melanoma_cell_line_UW_1stSK-MEL-29_U95Av2_Signal	M19_melanoma_cell_line_UW_1stSK-MEL-75_U95Av2_Signal	M20_melanoma_cell_line_UW_1stSK-MEL-90_U95Av2_Signal	M21_melanoma_cell_line_UW_U95Av2_SK-MEL-131_Signal	M22_melanoma_cell_line_UW_U95Av2_SK-MEL-176_Signal	M23_melanoma_cell_line_UW_U95Av2_SK-MEL-187_Signal	M24_melanoma_cell_line_UW_U95Av2_SK-MEL-21_Signal	M25_melanoma_cell_line_UW_U95Av2_SK-MEL-30_Signal	M26_melanoma_cell_line_UW_U95Av2_SK-MEL-31_Signal	M27_melanoma_cell_line_UW_U95Av2_SK-MEL-64_Signal	M28_melanoma_cell_line_UW_U95Av2_SK-MEL-85_Signal	M29_melanoma_cell_line_UW_U95Av2_SK-MEL-94_Signal	S5_Fibrosarcoma	S6_Fibrosarcoma: classic conventional type	S7_Fibrosarcoma: classic conventional type	S8_Fibrosarcoma: classic conventional type	S9_Fibrosarcoma: classic conventional type	S10_Fibrosarcoma	S11_Fibrosarcoma: classic conventional type	S12_Fibrosarcoma: classic conventional type	S13_GIST	S14_GIST	S15_GIST	S17_GIST	"S18_GIST, no kit staining was done but positive on GeneChip"	S20_Leiomyosarcoma	S21_Leiomyosarcoma	S22_Leiomyosarcoma	S23_Leiomyosarcoma	S24_Leiomyosarcoma	S26_Leiomyosarcoma	S28_Lipo dediff	S29_Lipo dediff	S30_Lipo dediff	S31_Lipo dediff	S32_Lipo dediff	S33_Lipo pleo	S34_Lipo pleo 	S35_Lipo pleo (undiff portion according to path report)	S36_MFH	S37_MFH	S38_MFH	S39_MFH	S40_MFH	S41_MFH	S42_MFH	S43_MFH	S44_MFH	S45_MFH	S46_MFH	S47_Round cell liposarcoma	S48_Round cell liposarcoma	S50_Round cell liposarcoma	S51_Round cell liposarcoma	S55_synovial sarcoma	S56_synovial sarcoma	S57_synovial sarcoma	S58_synovial sarcoma	S59_synovial sarcoma
1288_s_at	520484.8	198282	450453.1	274743	235448.8	168362.8	550335.8	443902.8	129889.9	257025.2	7583.7	133255.8	203201.8	187371.1	102326.2	227158	139627.3	255440.2	162985.9	180676.3	385403.3	411405.1	469380.3	349579.1	412366.1	277448.6	320306.6	303974.9	341065	221896.3	41016	251505.4	195739.9	321030	230599.2	84087.2	48414.8	74779.6	59829	76932.1	195654.2	121830.1	361922.3	262975.9	290971.7	270647.7	143178.2	39884.6	370443.2	48313.7	260929.6	590103	56553.8	265652.8	17031.7	90759.4	231760.2	325857.9	57754.3	280351.6	196148.5	55272.2	76594.8	73934	284159.6	199116.4	55476.9	352287	646456.9	397891	469979	66138	19701.6	19417.9	50352.2	12669.7
1676_s_at	213223.6	70613.7	122683.3	72870.6	127406.4	59156.6	84379.2	201594.9	76217.8	144560	39244.7	96082.8	68575.9	97707.4	36793	58721.3	51408.5	92384.3	65587.4	76096.8	151595.5	67769.6	128675.4	132750.9	156910.7	62066.1	114753.7	59142.1	94483.6	138080.4	50401.7	191158.5	124249.7	70159.8	138040.5	72353.7	52800.9	52032.3	41961.5	52377.9	60984	48344.7	131530.2	92742.7	65794.6	84084	40801.4	68288	96647.8	66813.9	100766.1	116759.6	64599.1	75090.9	56407.2	65467.8	144370	97618	54181.3	70698.7	58579.9	59624.8	60756.4	62206.2	56514.1	114168.4	49875.3	182582.9	229703.3	268253.3	257471.4	113391.4	77043	87920.9	112437.1	83258.7
31527_at	454800.6	131245.1	330550.4	147956.2	258778.2	90380.9	254538.4	408386.7	98123	267853.7	24243.5	143486.5	189043.7	130450.5	99621.8	164149.6	109688.6	197510.4	132428.3	138623.2	246765.1	170430	328478.1	307965.8	295158.9	126692.5	223416.7	201112.6	293400.3	184951.9	57985.3	240015.8	143495.3	63275.8	222491.1	97915.5	59476.4	74617.6	56377.3	64184.1	76448.6	70346.9	184033.8	106728.7	128035.2	126846.1	37114.2	67932.8	210082.2	69956.5	193828	198122.2	78024.1	162718.9	46464.9	57782.6	238000.8	187511.3	71993.2	179863.5	112158.1	60065.5	79328.7	69978.8	149687.7	146107.6	45989.3	319020.4	375674.6	408024.5	433343.4	83559.9	48952.3	48084.5	78031.8	70226.3
32965_f_at	1395.5	1472.8	2327.6	2433.9	879.7	1801.7	540	1140.6	1060.6	405.6	1409.8	2017.1	602.2	1024.9	823.4	3693.4	1435.4	1613.7	2139.8	1197.3	2938	721.8	3087.9	399.6	1837.6	1536.7	2120.6	766.4	833.1	1526.8	2185.8	330.6	1043.5	1558.2	501.3	248.8	1073.5	1136	1045.4	1339.9	1318.8	1725	1462	1683.7	1908.2	1125.6	1627.6	1782.5	3076	1883.4	1719.6	742.4	770.6	999.6	2459.9	2627.1	1258.5	2086.6	1025.3	1613.4	1664.5	555.1	1185	993.5	341.2	1364	1047	451.9	1463.4	611.4	1764.6	437.1	291.9	1787.7	390	1820.8
35174_i_at	1336.8	1069	946.4	654.2	1110.6	334.4	1549	356.7	3757.2	1648.2	1511.4	4178	21341.9	1667.1	1566.8	13275.9	4575.2	6302.2	1718.4	5232.4	1323.9	2179.4	1396.9	1229.9	14624.9	2766.1	30848.3	4417.9	1117.7	399	247.7	504.4	421	93.2	11398.3	795	532.7	598.5	800.1	287.4	1496.7	3050.2	597.5	1729.9	10467.8	607.4	1276.3	228.8	497.7	81.4	337.5	901.9	375.4	622.1	2946.9	2555.7	347.3	437.8	139.9	316.7	82.8	4855.4	50.7	181.5	584.3	470.4	108.7	685.6	119.8	365.8	553	729.9	14187.1	26055.3	12022.9	13855.6
35175_f_at	33324.1	26561.5	20748.2	15278.9	24319.2	20837.1	19260.5	34475.9	23035.3	19849.3	22053.6	31141.4	34709.5	21408.5	7641.5	35321	16861.2	30241.4	31482	23236	45234.9	21614.5	21706.9	25221.9	45752.9	24251.7	55166.2	14252.5	15138.3	33930.3	16859.6	59369.2	44581.6	53102.1	51882.8	20992.9	17606.2	25907.3	18264.8	13380.2	28818	18972.9	34336.1	26532.3	33595.8	20264.1	16807.7	19231.7	41898.6	26500.6	14874.1	25427.9	28831.9	26330.3	12824.3	10314.6	23234.9	29026.5	26443.7	19241.1	16129.3	21552	13099.5	13793.6	23663.3	19869.7	10369.6	47528.4	62711.4	92513.6	93332	49659.9	34826.6	52887.1	44545.9	34284.4
35748_at	97079.5	29133.3	24172.2	29541.8	60321.7	18558.4	55140.4	100113.9	22598.2	55542.7	27751.6	47409.1	27969.5	21838.1	27335.8	24913.3	21967.9	41596.6	29596.5	37825.8	30061.7	21031.5	22514.7	29645.4	41514.7	6756.9	26411.3	14896	27610.9	42644.2	25226.2	63223.7	26479	25383.6	73715.3	23561.1	13851.9	29816.3	26058.3	18169.6	19589.8	23554.3	45957.9	37056.9	30765.1	27118.3	21614.8	27920.7	42695.3	27267.2	25855.8	41093.2	31108.1	29070.6	17633.7	10563.5	62184.3	43326.3	26490.1	38899.6	21526.1	19445	26789.3	13337.7	28317.3	34058.4	15897.6	61521.8	62881.9	87570.6	98485.9	77515.7	57003.5	80601.8	67275.9	41015.1
39208_i_at	1025.4	78.5	34.2	878.1	376.9	156.2	909.3	260.7	60	48	198.4	4.5	48	251.9	100.2	242.8	65.3	39.2	115.9	109.6	347.6	276.8	43	113.7	434.6	25.1	328.1	462	199.6	81.4	118.7	124.6	185.1	49.8	168.2	5.2	10.2	77.6	62.3	42.6	292.2	78.2	354.1	141.7	264.1	133.9	368.2	201.9	236.6	102.5	122.1	49.1	158.3	158.8	120.7	845.1	55.6	131.2	168.4	228.2	136.5	183.8	49.9	340.7	6556.6	182.2	108.1	113.4	23.2	134.1	179.8	47.9	85.4	28.6	40.7	150.8
39209_r_at	333.9	39.1	69.1	127.9	34.1	21.3	1914.6	151.7	35.2	37.5	142.9	29.8	176.1	221.3	44.2	130.5	32.9	527.4	93.1	381.2	77.8	275.6	377.1	194.4	122	19.5	212.8	666.4	90.4	94.3	104.8	175.4	9.9	32.4	10	69.7	92.9	159	22.5	68.7	149.5	111.1	163.1	20.8	26.9	179.5	50.9	25.5	246.3	333.5	180.9	167.8	76.6	48.5	49.3	224.8	140.4	285.1	145.8	183.2	21.9	304.5	415.5	16.3	1237.8	20.3	191.5	187.8	279.7	115.8	334.7	118.1	64.1	147.4	71	55.9
39292_r_at	212.4	429.5	504.1	79.7	459.3	246.5	661.1	629.7	372.9	468.2	318.7	346.7	658.1	543.2	424.8	540.4	334.2	419.1	1086.6	337.1	322.5	436.7	89.1	319.7	342.2	298.6	688	780.5	179	220.8	469.3	644	380.3	310.8	218.5	274.2	248.2	379.9	344	262.9	241.4	542	413.4	427.6	362	431.7	253.3	32.1	457.3	114.4	134.4	580.3	279.3	282.4	504.2	723.9	247.8	625.6	300.8	409.7	206.5	366.3	919.5	360.1	537.9	339.7	378.5	641.1	349.3	541.4	347.5	315.4	432.2	359.6	142.7	349.1
