Probes	ProbeScore
1007_s_at	0.0643101
117_at	0.593537874
1431_at	0.796889002
1494_f_at	0.653554655
1773_at	0.515895587
1861_at	0.001680671
200002_at	0.64749934
200003_s_at	0.526949028
200004_at	0.906613806
200005_at	0.670319834
200008_s_at	0.154709201
200009_at	0.455895965
200010_at	0.769235305
200013_at	0.414096995
200014_s_at	0.913257531
200015_s_at	0.246076328
200017_at	0.247121749
200019_s_at	0.998393433
200020_at	0.41150258
200022_at	0.757768612
200023_s_at	0.347967977
200025_s_at	0.593071764
200031_s_at	0.837434844
200033_at	0.901791227
200034_s_at	0.412549687
200035_at	0.120728932
200036_s_at	0.679524738
200037_s_at	0.821291472
200038_s_at	0.482277294
200040_at	0.897042251
200041_s_at	0.330824974
200042_at	0.913922818
200045_at	0.427300794
200046_at	0.903451031
200047_s_at	0.781564178
200048_s_at	0.45394656
200049_at	0.382987855
200050_at	0.048664213
200051_at	0.624372132
200052_s_at	0.385798594
200055_at	0.641084817
200056_s_at	0.938030727
200058_s_at	0.707534391
200059_s_at	0.169074593
200061_s_at	0.337311786
200063_s_at	0.038551681
200066_at	0.321554061
200067_x_at	0.027658374
200069_at	0.366854532
200070_at	0.068885037
200071_at	0.282695843
200072_s_at	0.519969496
200073_s_at	0.140028307
200074_s_at	0.476841587
200075_s_at	0.042713601
200078_s_at	0.000982133
200079_s_at	0.302247147
200080_s_at	0.136542171
200081_s_at	0.148730407
200082_s_at	0.54734694
200083_at	0.019037545
200084_at	0.484841352
200085_s_at	0.415135607
200086_s_at	0.336574625
200087_s_at	0.886739092
200088_x_at	0.122004846
200089_s_at	0.028966345
200090_at	0.026789798
200091_s_at	0.036063307
200092_s_at	0.283254684
200093_s_at	0.516777071
200094_s_at	0.526205441
200096_s_at	0.33870623
200097_s_at	0.876537708
200098_s_at	0.85662437
200099_s_at	0.446549631
200593_s_at	0.238197099
200594_x_at	0.744116702
200595_s_at	0.130362127
200596_s_at	0.211071843
200597_at	0.348124056
200598_s_at	0.276373198
200599_s_at	0.113014598
200600_at	0.412133265
200601_at	0.831120578
200602_at	0.576596869
200603_at	0.082864429
200604_s_at	0.077052771
200605_s_at	0.645496931
200606_at	0.784502191
200607_s_at	0.252435199
200608_s_at	0.043156211
200610_s_at	0.754820637
200611_s_at	0.004177332
200612_s_at	0.113924209
200613_at	0.03168062
200615_s_at	0.01352908
200616_s_at	0.827555657
200620_at	0.376077467
200621_at	0.079675741
200622_x_at	0.026669304
200623_s_at	0.156410875
200624_s_at	0.678571566
200626_s_at	0.362079784
200627_at	0.965937165
200629_at	0.91274647
200630_x_at	0.206202486
200631_s_at	0.278132385
200632_s_at	0.051902949
200634_at	0.113697886
200637_s_at	0.00106796
200638_s_at	0.10842451
200640_at	0.059834952
200641_s_at	0.006451569
200642_at	0.567536795
200643_at	0.751605058
200644_at	0.150319421
200646_s_at	0.265960867
200647_x_at	0.470375854
200648_s_at	0.923004555
200656_s_at	0.059799081
200657_at	0.228999738
200658_s_at	0.181078014
200660_at	0.044326767
200661_at	0.22972396
200662_s_at	0.91694047
200663_at	0.67397642
200664_s_at	0.20095612
200665_s_at	0.407571647
200666_s_at	0.558436618
200668_s_at	0.24073209
200669_s_at	0.033093491
