class	size	virtual_size	raw score(mean)	pval (mean)	raw score(median)	pval (median)	roc_rate	rocpval	log-1	log-2	log-3	log-4	log-5	log-6	log-7	log-8	log-9	log-10
_GO:0000157	136	98	1.622226174	0.54243	1.184573285	0.7359	0.468891118	0.709286038	0.065825515	0.006388645	0.055128368	0.130866102	0.132392229	0.103291535	0.172834171	0.299032752	0.309913611	0.42345907
_GO:0003710	115	83	1.951314776	0.4023	1.584234287	0.55965	0.504168384	0.510376083	0.078326103	0.079280593	0.104855698	0.140149382	0.09994171	0.156142401	0.268207561	0.334626496	0.371937006	0.35473261
_GO:0003751	14	8	2.312890562	0.27822	3.045740437	0.15935	0.542003499	0.282562869	0.256698389	0.260293804	0.119173903	0.403221289	0.557538871	0.680881926	0.796124424	0.862431873	0.909276217	0.932614204
_GO:0003752	12	7	3.652742082	0.06257	3.164242229	0.14285	0.775227065	0.112756773	0.017849715	0.028136939	0.019667639	0.380302248	0.318190003	0.246213824	0.819150366	0.87854219	0.920155117	0.94078607
_GO:0006485	7	5	1.224566642	0.73539	0.947379927	0.84567	0.409094199	0.625051335	0.264739024	0.352456259	0.374000148	0.566907088	0.694147446	0.786482771	0.867210343	0.911665109	0.942300871	0.957342207
_GO:0008032	8	7	1.410365898	0.64314	1.355265482	0.65849	0.470985644	0.544728992	0.226674145	0.23567052	0.384158582	0.451723376	0.599797496	0.714408897	0.819150366	0.87854219	0.920155117	0.94078607
_GO:0008357	17	8	1.850174903	0.44254	1.609553661	0.54743	0.478794643	0.540558411	0.264348341	0.260293804	0.360648127	0.388016702	0.338068995	0.268215766	0.796124424	0.862431873	0.909276217	0.932614204
_GO:0008577	4	4	2.0862239	0.35248	0.709533981	0.92539	0.377411963	0.668668362	0.188107626	0.407966121	0.395968463	0.305396706	0.226278927	0.162449802	0.103177133	0.928688831	0.953570762	0.965727687
"19S_proteasome_regulatory_particle,_base_subcomplex_GO:0008540"	14	11	1.426694792	0.63518	0.954560051	0.84162	0.442486421	0.633636489	0.182239912	0.18882821	0.114800029	0.286759815	0.447778078	0.589428563	0.73084252	0.815840862	0.877397572	0.908516276
19S_proteasome_regulatory_particle_GO:0005838	8	7	1.177986509	0.75898	0.969378827	0.83446	0.424797063	0.670689276	0.228008245	0.316051075	0.384158582	0.451723376	0.599797496	0.714408897	0.819150366	0.87854219	0.920155117	0.94078607
1-phosphatidylinositol_3-kinase_complex_GO:0005942	28	18	2.029423575	0.37287	1.532557546	0.58335	0.501778476	0.436685973	0.174498731	0.158091322	0.209742673	0.28053189	0.366638701	0.373529071	0.311974508	0.24125622	0.174060961	0.134961158
1-phosphatidylinositol_3-kinase_GO:0004429	15	9	2.402848564	0.25316	1.123666671	0.76317	0.459555127	0.517310596	0.260074369	0.14468651	0.33327751	0.38969625	0.353574361	0.28761675	0.201432543	0.142351207	0.096764192	0.072916748
"1-phosphatidylinositol-4,5-bisphosphate_phosphodiesterase_GO:0004435"	14	12	1.741881711	0.48916	1.334412769	0.66658	0.522835184	0.476588567	0.182093169	0.233385741	0.246255415	0.36965538	0.378760262	0.332100486	0.710288953	0.800873112	0.867019182	0.900620903
1-phosphatidylinositol-4-phosphate_5-kinase_GO:0016308	7	7	2.823244494	0.15987	1.218656719	0.71934	0.643331093	0.299212802	0.293566908	0.235337624	0.090646792	0.137044466	0.072208942	0.246213824	0.819150366	0.87854219	0.920155117	0.94078607
1-phosphatidylinositol-4-phosphate_kinase_GO:0045215	7	7	2.823244494	0.15987	1.218656719	0.71934	0.643331093	0.299212802	0.293566908	0.235337624	0.090646792	0.137044466	0.072208942	0.246213824	0.819150366	0.87854219	0.920155117	0.94078607
"2',3'-cyclic_nucleotide_3'-phosphodiesterase_GO:0004113"	7	4	2.686827008	0.18722	2.970117273	0.16991	0.616588278	0.311355546	0.311773529	0.081392712	0.455323628	0.635070734	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
"2,3-dihydro-2,3-dihydroxybenzoate_dehydrogenase_GO:0008667"	15	12	3.629259209	0.06458	2.240142254	0.32916	0.671344359	0.174998228	0.104088332	0.167713924	0.036184216	0.005054441	0.006738703	0.014657988	0.039080619	0.018338898	0.124540681	0.900620903
20S_core_proteasome_GO:0005839	19	14	2.273645773	0.29058	1.853957818	0.45248	0.636811329	0.192412199	0.116562754	0.202609025	0.061773984	0.343663725	0.3595959	0.510231549	0.670892621	0.771751163	0.846625565	0.885032591
26S_proteasome_GO:0005837	93	71	1.578287889	0.56223	1.042514016	0.80158	0.496723319	0.552731699	0.060489055	0.079746531	0.069376759	0.031062624	0.029766816	0.032562316	0.131159898	0.267521423	0.428565381	0.537123309
2-acetyl-1-alkylglycerophosphocholine_esterase_complex_GO:0008247	4	4	0.562866591	0.97616	0.544200894	0.96606	0.224614086	0.829706341	0.188107626	0.22814733	0.455323628	0.635070734	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
2-acetyl-1-alkylglycerophosphocholine_esterase_GO:0003847	6	5	0.78784895	0.92223	0.544200894	0.96606	0.30474008	0.780985729	0.264739024	0.157656078	0.374000148	0.566907088	0.694147446	0.786482771	0.867210343	0.911665109	0.942300871	0.957342207
"3',5'-cyclic_AMP_binding_GO:0030552"	8	5	2.040092891	0.3688	1.274750109	0.69009	0.509878181	0.497144004	0.3408378	0.352456259	0.406617398	0.340818231	0.262961928	0.786482771	0.867210343	0.911665109	0.942300871	0.957342207
"3',5'-cyclic_GMP_binding_GO:0030553"	5	4	1.433370876	0.63206	1.462748114	0.61382	0.452454173	0.473683946	0.363346095	0.407966121	0.455323628	0.635070734	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
"3',5'-cyclic-nucleotide_phosphodiesterase_GO:0004114"	24	21	2.578189474	0.20974	1.259163004	0.69836	0.523677169	0.396736741	0.173443968	0.177118892	0.158833711	0.115184323	0.042381739	0.057663949	0.096392024	0.049498322	0.196014957	0.153437409
3'-5'_exonuclease_GO:0008408	20	15	1.926703463	0.41211	1.781540609	0.4786	0.567419394	0.30393547	0.089416128	0.156384713	0.170543129	0.328686901	0.334239222	0.486266315	0.652018197	0.757587172	0.836607538	0.877338514
35S_primary_transcript_processing_GO:0006365	4	4	2.558544763	0.21431	3.175421226	0.14173	0.637632658	0.349809445	0.363346095	0.273412745	0.129025391	0.305396706	0.226278927	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
3-hydroxyacyl-CoA_dehydrogenase_GO:0003857	6	5	3.302047295	0.09304	4.852250537	0.03286	0.6652756	0.281838901	0.219298011	0.140685123	0.038355956	0.00981733	0.262961928	0.786482771	0.867210343	0.911665109	0.942300871	0.957342207
aa3-type_cytochrome_c_oxidase_GO:0009481	13	11	2.32477251	0.27498	1.40117769	0.64101	0.597377517	0.312917302	0.059473919	0.141506183	0.298814306	0.228097343	0.141332977	0.319382654	0.73084252	0.815840862	0.877397572	0.908516276
ABC-type_efflux_porter_GO:0015427	8	7	2.782083964	0.16759	1.384309235	0.64828	0.556830912	0.397806445	0.293566908	0.235337624	0.384158582	0.380302248	0.318190003	0.246213824	0.165822794	0.114864695	0.920155117	0.94078607
ABC-type_uptake_permease_GO:0015406	27	22	1.207212789	0.7443	1.042148437	0.80158	0.42298987	0.739842677	0.100546551	0.086127639	0.063002209	0.082086799	0.20028329	0.347176175	0.533905133	0.665414684	0.769691946	0.825296165
acetate_metabolism_GO:0006083	5	4	2.657995257	0.19314	2.870615871	0.18684	0.696846358	0.276484524	0.311773529	0.081392712	0.395968463	0.305396706	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
acetylcholine_binding_GO:0042166	13	13	1.124621537	0.78376	0.927932905	0.85442	0.419561846	0.727934561	0.16656098	0.127861944	0.077423744	0.228456391	0.38687269	0.535374705	0.690311004	0.786178192	0.856762316	0.892793198
acetylcholine_receptor_GO:0015464	13	13	1.124621537	0.78376	0.927932905	0.85442	0.419561846	0.727934561	0.16656098	0.127861944	0.077423744	0.228456391	0.38687269	0.535374705	0.690311004	0.786178192	0.856762316	0.892793198
acetyl-CoA_C-acyltransferase_GO:0003988	5	5	6.53535281	0.00105	5.93930216	0.01331	0.955952237	0.047187678	0.056411647	0.002801427	1.80E-04	1.41E-05	1.13E-04	0.019003414	0.125362954	0.08511861	0.056349454	0.957342207
acetyl-CoA_metabolism_GO:0006084	5	4	2.657995257	0.19314	2.870615871	0.18684	0.696846358	0.276484524	0.311773529	0.081392712	0.395968463	0.305396706	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
acetylgalactosaminyltransferase_GO:0008376	6	5	1.439322299	0.62919	0.831558887	0.88904	0.428995296	0.603593293	0.10276502	0.352456259	0.406617398	0.340818231	0.694147446	0.786482771	0.867210343	0.911665109	0.942300871	0.957342207
acetylglucosaminyltransferase_GO:0008375	10	9	1.837227519	0.44857	1.371618734	0.65232	0.546545459	0.436652994	0.223139599	0.180828505	0.146882411	0.359921705	0.518252831	0.64892451	0.77374303	0.846615073	0.89852464	0.924512343
acetyltransferase_GO:0016407	21	20	3.344720798	0.08887	3.289618583	0.1245	0.683615273	0.101311573	0.044477902	0.014662595	8.38E-04	8.85E-05	0.036894686	0.17616347	0.089715987	0.258371562	0.18889488	0.839846561
acid_phosphatase_GO:0003993	14	11	1.235448871	0.73083	0.737652869	0.91667	0.436188073	0.6659427	0.182239912	0.253265918	0.274828401	0.286759815	0.447778078	0.589428563	0.73084252	0.815840862	0.877397572	0.908516276
acid-ammonia_(or_amide)_ligase_GO:0016880	5	5	0.760891938	0.93052	0.255031295	0.99728	0.279242552	0.804421606	0.264739024	0.157656078	0.374000148	0.566907088	0.694147446	0.786482771	0.867210343	0.911665109	0.942300871	0.957342207
acid-D-amino_acid_ligase_GO:0016881	83	68	2.171829909	0.32379	1.774325857	0.48226	0.565972719	0.186232129	0.050609409	0.019506441	0.056594131	0.156849597	0.187655229	0.228653754	0.283286043	0.362041106	0.364100466	0.331007278
acidic_amino_acid_transporter_GO:0015172	9	7	0.981441682	0.84797	0.723040077	0.92084	0.315254296	0.807954691	0.027468104	0.23567052	0.384158582	0.451723376	0.599797496	0.714408897	0.819150366	0.87854219	0.920155117	0.94078607
actin_bundling_GO:0003781	5	5	2.191124897	0.31708	1.786865441	0.47627	0.649306477	0.32282271	0.219298011	0.315002784	0.406617398	0.340818231	0.694147446	0.786482771	0.867210343	0.911665109	0.942300871	0.957342207
actin_capping_protein_GO:0008290	5	5	1.462183615	0.61732	1.12868036	0.76119	0.540344952	0.484375712	0.3408378	0.352456259	0.374000148	0.566907088	0.694147446	0.786482771	0.867210343	0.911665109	0.942300871	0.957342207
actin_cross-linking_GO:0003780	9	8	1.74117064	0.48916	1.473966517	0.60831	0.518294522	0.502413006	0.264348341	0.260293804	0.360648127	0.388016702	0.557538871	0.680881926	0.796124424	0.862431873	0.909276217	0.932614204
actin_cytoskeleton_organization_and_biogenesis_GO:0030036	21	20	2.153086884	0.32996	1.429401376	0.62906	0.5084884	0.518653176	0.176093023	0.191162748	0.147283786	0.104423692	0.11499099	0.17616347	0.327479635	0.258371562	0.788250623	0.839846561
actin_cytoskeleton_reorganization_GO:0007012	27	23	2.355863959	0.26635	1.752145015	0.49237	0.590406719	0.252049446	0.075760736	0.074117044	0.060846944	0.061920899	0.271111733	0.375415185	0.34580585	0.281156603	0.760575459	0.818114472
actin_filament_GO:0005884	12	11	1.814109366	0.45792	0.918026909	0.8583	0.471366654	0.626032075	0.182239912	0.226334027	0.084570704	0.082137243	0.141332977	0.319382654	0.73084252	0.815840862	0.877397572	0.908516276
actin_filament_organization_GO:0007015	4	4	2.192391747	0.31648	0.684392358	0.93249	0.801465268	0.581680074	0.100271249	0.081392712	0.018670243	0.05500358	0.226278927	0.162449802	0.103177133	0.069357918	0.953570762	0.965727687
actin_filament_severing_GO:0003789	38	29	4.260598851	0.02983	4.548213564	0.04346	0.464672587	0.171429422	0.02103663	0.123728253	0.119304676	0.110816849	0.191371846	0.354793187	0.437113237	0.584391675	0.708078303	0.776300533
actin_filament-based_movement_GO:0030048	5	5	2.641533686	0.19661	1.035399245	0.80556	0.536195875	0.467024883	0.3408378	0.315002784	0.176686362	0.081855304	0.262961928	0.193560545	0.867210343	0.911665109	0.942300871	0.957342207
actin_filament-based_process_GO:0030029	29	26	1.975847797	0.39369	1.30834007	0.67746	0.485085108	0.596691592	0.150882409	0.158037202	0.146126719	0.086204845	0.169434445	0.22605589	0.35893385	0.300739694	0.73386239	0.796937118
actin_modulating_GO:0003790	5	4	1.865973282	0.43688	1.465998657	0.61172	0.539013507	0.447875475	0.363346095	0.407966121	0.455323628	0.635070734	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
actin_polymerization/depolymerization_regulation_GO:0008064	7	5	2.327232129	0.27418	0.963274517	0.83771	0.398625015	0.513046274	0.264739024	0.352456259	0.406617398	0.340818231	0.694147446	0.786482771	0.867210343	0.911665109	0.942300871	0.957342207
actin_polymerization_and/or_depolymerization_GO:0008154	6	4	1.454981162	0.62126	0.580062747	0.95981	0.504100338	0.655115573	0.188107626	0.407966121	0.395968463	0.305396706	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
