class	size	virtual_size	pval (mean)	raw score (mean)	pval  (median)	virtual_size (median)	hyper pval	aroc rate	log-1	log-2	log-3	log-4	log-5	log-6	log-7	log-8	log-9	log-10
19S proteasome regulatory particle(GO:0005838)	19	17	0.6095	0.357426672	0.7725	17	0.987273709	0.484553278	0.185362063	0.540473012	0.872617561	0.959810417	0.987273709	0.994891068	0.994891068	0.997442455	0.997442455	0.997442455
"19S proteasome regulatory particle, base subcomplex(GO:0008540)"	6	5	0.3269	1.168802335	0.095	5	0.99624343	0.595694068	0.037307005	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
1-phosphatidylinositol 3-kinase complex(GO:0005942)	21	13	0.6989	0.299343868	0.8541	13	0.990256407	0.386354676	0.079744785	0.624760311	0.901075993	0.96912819	0.990256407	0.996091992	0.996091992	0.99804423	0.99804423	0.99804423
1-phosphatidylinositol 3-kinase(GO:0004429)	6	5	0.7776	0.383650539	0.7296	5	0.99624343	0.369738031	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
1-phosphatidylinositol-4-phosphate 5-kinase(GO:0016308)	9	5	0.4314	0.361186391	0.7555	5	0.99624343	0.448389039	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
1-phosphatidylinositol-4-phosphate kinase(GO:0045215)	9	5	0.4314	0.361186391	0.7555	5	0.99624343	0.448389039	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
20S core proteasome(GO:0005839)	20	17	0.5771	0.388356338	0.7296	17	0.987273709	0.449578564	0.230040359	0.339073921	0.872617561	0.959810417	0.987273709	0.994891068	0.994891068	0.997442455	0.997442455	0.997442455
26S proteasome(GO:0005837)	90	73	0.4742	0.357426672	0.7725	73	0.946265151	0.496853524	0.108949423	0.222961359	0.329629407	0.837870956	0.946265151	0.978154183	0.978154183	0.989017602	0.989017602	0.989017602
2-acetyl-1-alkylglycerophosphocholine esterase(GO:0003847)	6	4	0.1128	1.573683971	0.0255	4	0.996993839	0.736564805	0.01811626	0.127478061	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
"3',5'-cyclic-nucleotide phosphodiesterase(GO:0004114)"	11	10	0.3951	0.368475062	0.7555	10	0.992498158	0.514946512	0.296786476	0.696454331	0.923015482	0.976172099	0.992498158	0.996993161	0.996993161	0.998495562	0.998495562	0.998495562
3'-5' exonuclease(GO:0008408)	15	14	0.5015	0.487228914	0.5932	14	0.989510058	0.540199436	0.19757089	0.602534892	0.893877164	0.966790829	0.989510058	0.995791693	0.995791693	0.997893787	0.997893787	0.997893787
3'-5' exoribonuclease(GO:0000175)	6	5	0.6237	0.46470588	0.6204	5	0.99624343	0.524239687	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
35S primary transcript processing(GO:0006365)	5	5	0.5933	0.439519481	0.6565	5	0.99624343	0.56546221	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
3-beta-hydroxy-delta(5)-steroid dehydrogenase(GO:0003854)	6	4	0.6989	0.571873309	0.4713	4	0.996993839	0.415964173	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
aa3-type cytochrome c oxidase(GO:0009481)	10	9	0.3825	0.55912239	0.4961	9	0.99324631	0.617036591	0.288337889	0.722128062	0.93044446	0.978530714	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
ABC-type efflux porter(GO:0015427)	6	5	0.9107	0.195196339	0.9506	5	0.99624343	0.314031918	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
ABC-type uptake permease(GO:0015406)	16	13	0.5177	0.367117732	0.7555	13	0.990256407	0.473701909	0.287170041	0.299541278	0.901075993	0.96912819	0.990256407	0.996091992	0.996091992	0.99804423	0.99804423	0.99804423
acetate metabolism(GO:0006083)	10	8	0.0304	0.698254009	0.335	8	0.993994913	0.570247778	0.116745444	0.02834659	0.00166789	0.018954486	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
"acetyl choline receptor signaling, muscarinic pathway(GO:0007213)"	7	4	0.202	1.08396739	0.1134	4	0.996993839	0.618432937	0.126875647	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
acetylcholine binding(GO:0042166)	4	4	0.7142	0.422335895	0.6697	4	0.996993839	0.498005419	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
acetylcholine receptor(GO:0015464)	4	4	0.7142	0.422335895	0.6697	4	0.996993839	0.498005419	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
acetyl-CoA biosynthesis(GO:0006085)	5	4	0.0026	3.552361409	5.00E-05	4	0.996993839	0.517386723	0.126875647	0.007011393	3.69E-04	0.009563347	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
acetyl-CoA C-acyltransferase(GO:0003988)	6	4	0.9402	0.18262637	0.9563	4	0.996993839	0.284999247	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
acetyl-CoA metabolism(GO:0006084)	7	6	0.0127	1.015693265	0.1474	6	0.995493473	0.559353511	0.061459386	0.016315258	9.07E-04	0.014280307	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
acetylgalactosaminyltransferase(GO:0008376)	7	7	0.7624	0.303425208	0.8398	7	0.994743967	0.39651463	0.385408169	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
